name,wanted,not wanted
hypertension,"fiber, potassium, magnesium, calcium, complex carbohydrates, lean protein, healthy fats, vitamins C, vitamins D, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, berries, strawberries, blueberries, bananas, citrus fruits, oranges, lemons, avocados, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, herbs, garlic, onions, natural sweetness, mildly sweet, savory, spicy, cinnamon, turmeric","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, salt, table salt, processed foods, chips, frozen dinners, cured meats, bacon, sausages, high-sodium snacks, pickles, salty condiments, soy sauce, ketchup, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, high-fat meats, fatty cuts of pork, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, instant noodles, processed cheese, artificial sweeteners, full-fat dairy"
colon_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins A, vitamins C, vitamins D, vitamins E, folate, magnesium, calcium, selenium, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, apples, pears, bananas, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, herbs, garlic, onions, turmeric, cinnamon, green tea, natural sweetness, mildly sweet, savory, spicy","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, grilled meats at high temperatures"
rectal_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins A, vitamins C, vitamins D, vitamins E, folate, magnesium, calcium, selenium, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, apples, pears, bananas, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, herbs, garlic, onions, turmeric, cinnamon, green tea, natural sweetness, mildly sweet, savory, spicy","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, grilled meats at high temperatures"
esophageal_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins A, vitamins C, vitamins D, vitamins E, folate, magnesium, calcium, selenium, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, zucchini, pumpkin, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, grapefruits, melons, apples, pears, bananas, papaya, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, herbs, garlic, onions, turmeric, cinnamon, green tea, ginger, soothing broths, natural sweetness, mildly sweet, savory, spicy (moderate)","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, spicy (excessive), acidic foods (excessive), carbonated beverages, hard or coarse foods (dry crackers, raw nuts)"
stomach_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins A, vitamins C, vitamins D, vitamins E, folate, magnesium, calcium, selenium, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, apples, pears, papaya, pineapple, bananas, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, herbs, garlic, onions, turmeric, ginger, cinnamon, soothing broths, green tea, soft and moist foods, natural sweetness, mildly sweet, savory, mild flavors","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, spicy foods (excessive), acidic foods (excessive), carbonated beverages, hard or coarse foods"
lung_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins A, vitamins C, vitamins D, vitamins E, vitamin K, beta-carotene, folate, magnesium, selenium, zinc, calcium, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, sweet potatoes, pumpkin, carrots, peppers, tomatoes, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, grapefruits, apples, pears, bananas, papaya, pineapple, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, sunflower seeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, herbs, garlic, onions, turmeric, ginger, green tea, peppermint tea, natural sweetness, mildly sweet, savory, spicy (mild), soft and moist foods","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, grilled meats at high temperatures, acidic foods (excessive), carbonated beverages, hard or coarse foods"
skin_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins A, vitamins C, vitamins D, vitamins E, vitamin K, beta-carotene, selenium, zinc, magnesium, calcium, polyphenols, flavonoids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, arugula, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, sweet potatoes, carrots, pumpkin, peppers, tomatoes, cucumbers, zucchini, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, grapefruits, kiwi, papaya, pineapple, apples, pears, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, sunflower seeds, legumes, lentils, chickpeas, beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, garlic, onions, turmeric, ginger, parsley, basil, green tea, peppermint tea, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, caffeine (excessive)"
brain_cancer,"fiber, antioxidants, complex carbohydrates, lean protein, healthy fats, omega-3 fatty acids, vitamins C, vitamins D, vitamins E, vitamins K, B vitamins, folate, magnesium, selenium, zinc, iron (non-heme), polyphenols, flavonoids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, arugula, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, sweet potatoes, carrots, pumpkin, beets, tomatoes, zucchini, bell peppers, mushrooms, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, kiwi, papaya, pomegranate, apples, pears, nuts, walnuts, almonds, pecans, hazelnuts, seeds, chia seeds, flaxseeds, sunflower seeds, legumes, lentils, chickpeas, black beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, cinnamon, ginger, garlic, onions, green tea, peppermint tea, dark chocolate (85% cocoa or higher), natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, red meat, processed meats, bacon, sausages, hot dogs, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates (with added sugar), alcohol, overly sweet, salty, oily, greasy, artificial sweeteners, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, caffeine (excessive)"
thyroid_cancer,"fiber, complex carbohydrates, lean protein, healthy fats, iodine, selenium, vitamins A, vitamins C, vitamins D, vitamins E, B vitamins, iron (non-heme), magnesium, zinc, omega-3 fatty acids, antioxidants, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale (in moderation), collard greens, arugula, cruciferous vegetables (in moderation), broccoli, cauliflower, Brussels sprouts, sweet potatoes, carrots, pumpkin, zucchini, bell peppers, tomatoes, seaweed (iodine-rich, in moderation), mushrooms, berries, strawberries, blueberries, raspberries, blackberries, citrus fruits, oranges, lemons, grapefruit (if not on medication), apples, pears, nuts, walnuts, almonds, pecans, seeds, chia seeds, flaxseeds, sunflower seeds, legumes, lentils, chickpeas, black beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, cinnamon, garlic, ginger, onions, green tea, peppermint tea, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, salt, table salt, processed foods, chips, frozen dinners, refined grains, white bread, white rice, sugary beverages, sodas, energy drinks, fried foods, fries, fried chicken, butter, cream, full-fat dairy, baked goods, pastries, cakes, candy, chocolates (with added sugar), alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess iodine-rich foods (if contraindicated), soy products (in moderation if on thyroid medication)"
oral_cancer,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, sweet potatoes, carrots, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
